Polar Representation Log
n=25, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.2, indpb=0.2, seed=12369
================================================================================

Gen 10: [(-0.464782,0.065262), (-0.777889,0.573726), (-0.367604,-0.277348), (0.707237,-0.650004), (0.343517,0.158477), (-0.307037,0.630957), (-0.246578,-0.683097), (-0.855733,-0.513972), (0.625424,-0.095415), (-0.247289,0.068377), (-0.345336,-0.806032), (0.801868,-0.422444), (0.191120,-0.835886), (-0.540544,-0.646471), (0.230140,-0.136640), (0.020610,0.218248), (-0.442778,0.233635), (-0.676201,0.050081), (0.488967,0.016376), (0.068848,-0.141876), (-0.153581,0.305384), (0.362619,-0.894960), (-0.724913,0.420739), (0.329945,-0.386913), (0.697768,0.356368)]
Gen 11: [(-0.464782,0.065262), (-0.777889,0.573726), (-0.367604,-0.277348), (0.707237,-0.650004), (0.343517,0.158477), (-0.307037,0.630957), (-0.246578,-0.683097), (-0.855733,-0.513972), (0.625424,-0.095415), (-0.247289,0.068377), (-0.345336,-0.806032), (0.801868,-0.422444), (0.191120,-0.835886), (-0.540544,-0.646471), (0.230140,-0.136640), (0.020610,0.218248), (-0.442778,0.233635), (-0.676201,0.050081), (0.488967,0.016376), (0.068848,-0.141876), (-0.153581,0.305384), (0.362619,-0.894960), (-0.724913,0.420739), (0.329945,-0.386913), (0.697768,0.356368)]
Gen 12: [(-0.464782,0.065262), (-0.777889,0.573726), (-0.367604,-0.277348), (0.707237,-0.650004), (0.343517,0.158477), (-0.307037,0.630957), (-0.246578,-0.683097), (-0.855733,-0.513972), (0.625424,-0.095415), (-0.247289,0.068377), (-0.345336,-0.806032), (0.801868,-0.422444), (0.191120,-0.835886), (-0.540544,-0.646471), (0.230140,-0.136640), (0.020610,0.218248), (-0.442778,0.233635), (-0.676201,0.050081), (0.488967,0.016376), (0.068848,-0.141876), (-0.153581,0.305384), (0.362619,-0.894960), (-0.724913,0.420739), (0.329945,-0.386913), (0.697768,0.356368)]
Gen 13: [(-0.464782,0.065262), (-0.777889,0.573726), (-0.367604,-0.277348), (0.707237,-0.650004), (0.343517,0.158477), (-0.307037,0.630957), (-0.246578,-0.683097), (-0.855733,-0.513972), (0.625424,-0.095415), (-0.247289,0.068377), (-0.345336,-0.806032), (0.801868,-0.422444), (0.191120,-0.835886), (-0.540544,-0.646471), (0.230140,-0.136640), (0.020610,0.218248), (-0.442778,0.233635), (-0.676201,0.050081), (0.488967,0.016376), (0.068848,-0.141876), (-0.153581,0.305384), (0.362619,-0.894960), (-0.724913,0.420739), (0.329945,-0.386913), (0.697768,0.356368)]
Gen 14: [(-0.464782,0.065262), (-0.777889,0.573726), (-0.367604,-0.277348), (0.707237,-0.650004), (0.343517,0.158477), (-0.307037,0.630957), (-0.246578,-0.683097), (-0.855733,-0.513972), (0.625424,-0.095415), (-0.247289,0.068377), (-0.345336,-0.806032), (0.801868,-0.422444), (0.191120,-0.835886), (-0.540544,-0.646471), (0.230140,-0.136640), (0.020610,0.218248), (-0.442778,0.233635), (-0.676201,0.050081), (0.488967,0.016376), (0.068848,-0.141876), (-0.153581,0.305384), (0.362619,-0.894960), (-0.724913,0.420739), (0.329945,-0.386913), (0.697768,0.356368)]
Gen 15: [(-0.464782,0.065262), (-0.777889,0.573726), (-0.367604,-0.277348), (0.707237,-0.650004), (0.343517,0.158477), (-0.307037,0.630957), (-0.246578,-0.683097), (-0.855733,-0.513972), (-0.895716,-0.072846), (-0.438793,0.457010), (-0.511854,0.796448), (0.364342,0.893115), (-0.337102,0.836494), (-0.540544,-0.646471), (0.243258,0.017681), (0.020610,0.218248), (-0.442778,0.233635), (-0.676201,0.050081), (0.488967,0.016376), (0.068848,-0.141876), (0.678200,0.126684), (0.362619,-0.894960), (-0.724913,0.420739), (0.428299,-0.285873), (0.458538,0.581059)]
Gen 16: [(-0.464782,0.065262), (-0.777889,0.573726), (-0.367604,-0.277348), (0.707237,-0.650004), (0.343517,0.158477), (-0.307037,0.630957), (-0.246578,-0.683097), (-0.855733,-0.513972), (-0.895716,-0.072846), (-0.438793,0.457010), (-0.511854,0.796448), (0.364342,0.893115), (-0.337102,0.836494), (-0.540544,-0.646471), (0.243258,0.017681), (0.020610,0.218248), (-0.442778,0.233635), (-0.676201,0.050081), (0.488967,0.016376), (0.068848,-0.141876), (0.678200,0.126684), (0.362619,-0.894960), (-0.724913,0.420739), (0.428299,-0.285873), (0.458538,0.581059)]
Gen 17: [(0.450902,0.173025), (-0.777889,0.573726), (0.534158,0.729696), (-0.656836,0.046001), (0.035878,-0.490157), (0.899895,0.283783), (0.300392,0.256648), (-0.855733,-0.513972), (-0.378176,0.197168), (-0.635752,0.270372), (0.504174,0.474185), (-0.041314,0.324225), (0.069873,0.977920), (0.804648,0.473527), (0.599243,-0.441736), (-0.106361,-0.928174), (0.604403,0.329138), (0.631119,-0.637190), (-0.232023,-0.615952), (0.379633,-0.080793), (-0.156655,-0.129813), (-0.045288,0.656120), (-0.724913,0.420739), (0.428299,-0.285873), (-0.001600,-0.746821)]
Gen 18: [(-0.619035,0.082603), (-0.676247,0.729740), (0.542814,0.198342), (-0.853542,0.265707), (0.411198,-0.712302), (0.542117,-0.031333), (-0.246578,-0.683097), (0.287758,-0.155979), (0.112514,-0.079835), (0.879578,0.090043), (-0.902058,0.041646), (-0.199975,0.931340), (-0.241081,-0.248632), (0.101428,-0.933888), (-0.501777,-0.272495), (-0.106361,-0.928174), (0.604403,0.329138), (0.216579,0.943228), (0.232838,0.462351), (0.698604,0.457740), (0.515701,0.642031), (0.048023,0.650504), (-0.000427,-0.000272), (0.329945,-0.386913), (-0.395980,-0.658429)]
Gen 19: [(-0.427697,0.273824), (-0.479359,-0.492513), (0.368030,0.906623), (-0.398342,-0.146192), (-0.242562,0.052056), (-0.813512,0.030679), (-0.476576,0.458656), (-0.287894,0.324792), (-0.127745,-0.979413), (-0.635752,0.270372), (-0.009326,-0.784899), (-0.199975,0.931340), (-0.241081,-0.248632), (-0.722495,-0.185221), (0.599243,-0.441736), (0.251975,-0.245967), (0.301956,0.104625), (-0.147951,-0.410519), (0.488967,0.016376), (0.754085,0.568559), (-0.241642,-0.780159), (-0.648361,-0.728009), (0.099350,0.158399), (0.987520,-0.140838), (0.648327,-0.252378)]
