Polar Representation Log
n=10, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.1, indpb=0.2, seed=42
================================================================================

Gen 21: [(-0.819332,0.093855), (0.218633,0.727863), (0.845935,-0.493776), (-0.743026,-0.516918), (0.496640,-0.237142), (-0.487703,0.503321), (0.394262,-0.882174), (0.950950,0.008736), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 22: [(-0.819332,0.093855), (0.216492,0.570372), (-0.563364,0.616470), (0.003645,-0.218415), (0.496640,-0.237142), (-0.246131,0.193040), (0.394262,-0.882174), (0.950950,0.008736), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 23: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (0.003645,-0.218415), (0.530380,-0.011229), (-0.246131,0.193040), (0.394262,-0.882174), (-0.226410,0.713359), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 24: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (0.003645,-0.218415), (0.530380,-0.011229), (-0.246131,0.193040), (0.394262,-0.882174), (-0.226410,0.713359), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 25: [(-0.546948,-0.108518), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 26: [(-0.546948,-0.108518), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 27: [(-0.546948,-0.108518), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 28: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 29: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 30: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 31: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 32: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 33: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
