Boundary Representation Log
n=25, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.2, indpb=0.2, seed=12369
================================================================================

Gen 10: [(-0.999202,0.039954), (-0.834219,-0.551434), (0.670432,-0.741971), (0.986849,0.161643), (0.895802,-0.444453), (-0.863789,0.503854), (-0.409730,0.912207), (0.901174,0.433459), (-0.663750,-0.747955), (0.973780,-0.227493), (-0.926043,-0.377418), (0.999910,0.013445), (0.728579,-0.684962), (0.788063,-0.615595), (-0.612207,-0.790697), (0.821876,-0.569666), (-0.599795,0.800153), (0.860541,0.509381), (-0.321696,0.946843), (0.068345,0.997662), (0.933274,0.359164), (0.952766,0.303704), (0.520532,0.853842), (0.997610,0.069093), (-0.938373,0.345623)]
Gen 11: [(-0.831920,-0.554895), (-0.965128,-0.261780), (-0.667747,-0.744389), (0.961629,0.274353), (-0.924472,0.381250), (0.585735,0.810503), (-0.889498,0.456939), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (0.920834,0.389956), (0.956996,-0.290101), (0.208016,0.978125), (0.999920,0.012624), (-0.979095,-0.203404), (-0.410866,0.911696), (-0.120113,0.992760), (-0.989163,0.146818), (-0.321696,0.946843), (-0.937027,-0.349256), (-0.492721,-0.870188), (-0.546636,-0.837370), (0.297176,0.954823), (0.747382,0.664395), (0.414478,0.910059)]
Gen 12: [(-0.209040,-0.977907), (0.654870,-0.755742), (0.924322,0.381613), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.963201,0.268783), (0.520325,0.853969), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (-0.365264,-0.930904), (0.582059,0.813146), (0.208016,0.978125), (-0.475905,0.879497), (-0.944573,0.328301), (0.689144,0.724624), (0.760465,-0.649379), (-0.119481,0.992836), (0.964356,-0.264606), (0.399253,-0.916841), (0.760521,0.649314), (0.952766,0.303704), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 13: [(-0.209040,-0.977907), (0.654870,-0.755742), (0.924322,0.381613), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.963201,0.268783), (0.520325,0.853969), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (-0.365264,-0.930904), (0.582059,0.813146), (0.208016,0.978125), (-0.475905,0.879497), (-0.944573,0.328301), (0.689144,0.724624), (0.760465,-0.649379), (-0.119481,0.992836), (0.964356,-0.264606), (0.399253,-0.916841), (0.760521,0.649314), (0.952766,0.303704), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 14: [(-0.209040,-0.977907), (0.654870,-0.755742), (0.924322,0.381613), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.963201,0.268783), (0.520325,0.853969), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (-0.365264,-0.930904), (0.582059,0.813146), (0.208016,0.978125), (-0.475905,0.879497), (-0.944573,0.328301), (0.689144,0.724624), (0.760465,-0.649379), (-0.119481,0.992836), (0.964356,-0.264606), (0.399253,-0.916841), (0.760521,0.649314), (0.952766,0.303704), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 15: [(-0.209040,-0.977907), (0.654870,-0.755742), (0.924322,0.381613), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.963201,0.268783), (0.520325,0.853969), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (-0.365264,-0.930904), (0.582059,0.813146), (0.208016,0.978125), (-0.475905,0.879497), (-0.944573,0.328301), (0.689144,0.724624), (0.760465,-0.649379), (-0.119481,0.992836), (0.964356,-0.264606), (0.399253,-0.916841), (0.760521,0.649314), (0.952766,0.303704), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 16: [(-0.404729,-0.914437), (0.976821,0.214057), (0.562889,-0.826532), (0.938645,-0.344885), (-0.923478,-0.383652), (-0.988756,-0.149536), (0.520325,0.853969), (-0.876243,-0.481870), (-0.141024,0.990006), (0.650392,-0.759599), (-0.617794,-0.786340), (0.999910,0.013445), (0.274636,-0.961548), (-0.720524,0.693430), (-0.657652,0.753321), (0.769036,-0.639205), (0.790362,0.612640), (0.860541,0.509381), (-0.919310,0.393535), (0.721087,0.692845), (-0.794120,-0.607761), (-0.999674,0.025535), (0.297176,0.954823), (0.399427,-0.916765), (0.970290,-0.241945)]
Gen 17: [(-0.404729,-0.914437), (-0.965128,-0.261780), (0.562889,-0.826532), (0.938645,-0.344885), (0.616195,0.787593), (-0.656639,-0.754205), (0.324334,-0.945943), (-0.876243,-0.481870), (0.993685,0.112204), (-0.358641,0.933476), (0.920834,0.389956), (-0.853142,0.521678), (-0.999945,-0.010472), (-0.475905,0.879497), (-0.753834,-0.657065), (-0.753545,0.657396), (0.836330,-0.548226), (0.860541,0.509381), (-0.919310,0.393535), (0.779111,-0.626886), (-0.418068,0.908416), (-0.796862,0.604161), (0.520532,0.853842), (0.747382,0.664395), (0.627819,-0.778359)]
Gen 18: [(0.938261,0.345927), (-0.834219,-0.551434), (0.619431,-0.785051), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.988756,-0.149536), (0.992683,-0.120754), (-0.975662,-0.219282), (0.899058,-0.437829), (-0.971029,0.238962), (0.718565,-0.695460), (0.092308,-0.995731), (0.974830,0.222950), (-0.171057,0.985261), (-0.915895,-0.401417), (0.821876,-0.569666), (0.760465,-0.649379), (-0.379186,0.925321), (0.120693,0.992690), (0.330300,-0.943876), (-0.864881,0.501976), (-0.350054,-0.936729), (-0.549660,-0.835389), (0.772997,0.634409), (0.970290,-0.241945)]
Gen 19: [(0.938261,0.345927), (-0.834219,-0.551434), (0.619431,-0.785051), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.988756,-0.149536), (0.992683,-0.120754), (-0.975662,-0.219282), (0.899058,-0.437829), (-0.971029,0.238962), (0.718565,-0.695460), (0.092308,-0.995731), (0.974830,0.222950), (-0.171057,0.985261), (-0.915895,-0.401417), (0.821876,-0.569666), (0.760465,-0.649379), (-0.379186,0.925321), (0.120693,0.992690), (0.330300,-0.943876), (-0.864881,0.501976), (-0.350054,-0.936729), (-0.549660,-0.835389), (0.772997,0.634409), (0.970290,-0.241945)]
