Cartesian Representation Log
n=25, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.2, indpb=0.2, seed=42
================================================================================

Gen 10: [(0.769170,-0.631720), (0.549366,0.327976), (0.660141,0.502691), (0.060729,-0.902857), (-0.026579,-0.281996), (0.157109,0.460989), (-0.748152,0.129156), (0.388490,-0.760833), (-0.668037,-0.721530), (-0.477339,-0.089058), (-0.239433,-0.583196), (-0.437830,0.077537), (0.199098,0.953963), (0.556034,0.026476), (0.616921,-0.747628), (0.135641,-0.469271), (0.894327,0.061740), (0.479826,-0.239167), (-0.325223,0.262547), (0.829172,0.291155), (-0.161550,0.167345), (0.266153,0.096713), (-0.534012,0.622148), (0.101536,-0.038914), (0.092027,0.627018)]
Gen 11: [(-0.165077,-0.978992), (0.334937,-0.828585), (0.379927,0.807303), (-0.189085,0.103457), (0.639370,-0.405265), (0.157109,0.460989), (0.471328,-0.515294), (0.861884,0.169782), (0.712504,-0.212455), (0.881424,0.394226), (-0.753861,-0.333948), (0.939952,-0.187227), (-0.352693,0.408108), (0.556034,0.026476), (-0.885669,0.168355), (-0.237858,-0.426953), (-0.536289,-0.189905), (0.479826,-0.239167), (-0.478049,-0.393597), (-0.379027,-0.837572), (0.118592,-0.024278), (-0.663582,-0.085357), (0.543003,0.470374), (0.112371,0.891886), (-0.320767,0.875170)]
Gen 12: [(-0.165077,-0.978992), (0.334937,-0.828585), (0.379927,0.807303), (-0.189085,0.103457), (0.639370,-0.405265), (0.157109,0.460989), (0.471328,-0.515294), (0.861884,0.169782), (0.712504,-0.212455), (0.881424,0.394226), (-0.753861,-0.333948), (0.939952,-0.187227), (-0.352693,0.408108), (0.556034,0.026476), (-0.885669,0.168355), (-0.237858,-0.426953), (-0.536289,-0.189905), (0.479826,-0.239167), (-0.478049,-0.393597), (-0.379027,-0.837572), (0.118592,-0.024278), (-0.663582,-0.085357), (0.543003,0.470374), (0.112371,0.891886), (-0.320767,0.875170)]
Gen 13: [(-0.165077,-0.978992), (0.334937,-0.828585), (0.379927,0.807303), (-0.189085,0.103457), (0.639370,-0.405265), (0.157109,0.460989), (0.471328,-0.515294), (0.861884,0.169782), (0.712504,-0.212455), (0.881424,0.394226), (-0.753861,-0.333948), (0.939952,-0.187227), (-0.352693,0.408108), (0.556034,0.026476), (-0.885669,0.168355), (-0.237858,-0.426953), (-0.536289,-0.189905), (0.479826,-0.239167), (-0.478049,-0.393597), (-0.379027,-0.837572), (0.118592,-0.024278), (-0.663582,-0.085357), (0.543003,0.470374), (0.112371,0.891886), (-0.320767,0.875170)]
Gen 14: [(-0.165077,-0.978992), (0.334937,-0.828585), (0.379927,0.807303), (-0.189085,0.103457), (0.639370,-0.405265), (0.157109,0.460989), (0.471328,-0.515294), (0.861884,0.169782), (0.712504,-0.212455), (0.881424,0.394226), (-0.753861,-0.333948), (0.939952,-0.187227), (-0.352693,0.408108), (0.556034,0.026476), (-0.885669,0.168355), (-0.237858,-0.426953), (-0.536289,-0.189905), (0.479826,-0.239167), (-0.478049,-0.393597), (-0.379027,-0.837572), (0.118592,-0.024278), (-0.663582,-0.085357), (0.543003,0.470374), (0.112371,0.891886), (-0.320767,0.875170)]
Gen 15: [(-0.165077,-0.978992), (-0.156237,-0.442910), (0.064262,-0.180397), (0.336025,-0.315250), (0.633457,-0.121860), (-0.662408,-0.020440), (0.633336,0.709758), (0.203843,0.689397), (-0.668037,-0.721530), (0.618976,0.321817), (-0.881284,-0.298369), (-0.582385,-0.394141), (-0.185263,-0.695944), (0.335173,0.509101), (0.616921,-0.747628), (-0.286083,0.830202), (-0.154110,0.659499), (0.145205,0.136606), (-0.837185,-0.058665), (-0.184852,0.392830), (-0.722981,-0.313409), (0.455304,-0.822253), (-0.534012,0.622148), (-0.000636,-0.630867), (0.497460,0.860034)]
Gen 16: [(-0.165077,-0.978992), (-0.156237,-0.442910), (0.064262,-0.180397), (0.336025,-0.315250), (0.633457,-0.121860), (-0.662408,-0.020440), (0.633336,0.709758), (0.203843,0.689397), (-0.668037,-0.721530), (0.618976,0.321817), (-0.881284,-0.298369), (-0.582385,-0.394141), (-0.185263,-0.695944), (0.335173,0.509101), (0.616921,-0.747628), (-0.286083,0.830202), (-0.154110,0.659499), (0.145205,0.136606), (-0.837185,-0.058665), (-0.184852,0.392830), (-0.722981,-0.313409), (0.455304,-0.822253), (-0.534012,0.622148), (-0.000636,-0.630867), (0.497460,0.860034)]
Gen 17: [(-0.165077,-0.978992), (-0.156237,-0.442910), (0.064262,-0.180397), (0.336025,-0.315250), (0.633457,-0.121860), (-0.662408,-0.020440), (0.633336,0.709758), (0.203843,0.689397), (-0.668037,-0.721530), (0.618976,0.321817), (-0.881284,-0.298369), (-0.582385,-0.394141), (-0.185263,-0.695944), (0.335173,0.509101), (0.616921,-0.747628), (-0.286083,0.830202), (-0.154110,0.659499), (0.145205,0.136606), (-0.837185,-0.058665), (-0.184852,0.392830), (-0.722981,-0.313409), (0.455304,-0.822253), (-0.534012,0.622148), (-0.000636,-0.630867), (0.497460,0.860034)]
Gen 18: [(0.131217,-0.611544), (0.549366,0.327976), (0.660141,0.502691), (-0.859269,-0.165821), (0.633457,-0.121860), (-0.207384,-0.027285), (0.377984,-0.511799), (-0.242154,0.574828), (-0.399449,-0.129222), (-0.228784,-0.720889), (0.733935,0.009447), (-0.437830,0.077537), (-0.352693,0.408108), (0.556034,0.026476), (-0.168378,-0.869880), (-0.237858,-0.426953), (-0.536289,-0.189905), (0.001269,0.457108), (-0.106375,-0.201644), (-0.379027,-0.837572), (0.118592,-0.024278), (-0.663582,-0.085357), (0.531736,-0.563600), (0.112371,0.891886), (0.212748,0.573416)]
Gen 19: [(0.131217,-0.611544), (-0.156237,-0.442910), (0.660141,0.502691), (-0.221687,-0.059106), (-0.527157,0.285301), (0.301813,0.853038), (-0.228182,0.419665), (-0.634827,-0.593919), (-0.399449,-0.129222), (0.618976,0.321817), (0.655714,0.705501), (0.800237,-0.364428), (0.195570,0.406573), (0.983325,-0.169839), (0.391062,-0.641028), (-0.153250,0.976560), (-0.154110,0.659499), (0.001269,0.457108), (-0.106375,-0.201644), (-0.774205,0.258541), (-0.722981,-0.313409), (0.179042,-0.271275), (0.531736,-0.563600), (0.499365,-0.366241), (0.092027,0.627018)]
Gen 20: [(0.131217,-0.611544), (0.549366,0.327976), (0.379927,0.807303), (-0.859269,-0.165821), (0.077132,-0.847957), (-0.077470,0.099329), (-0.231547,0.273525), (0.139715,0.751937), (-0.668037,-0.721530), (0.881424,0.394226), (0.362133,-0.491424), (-0.437830,0.077537), (-0.352693,0.408108), (0.556034,0.026476), (-0.168378,-0.869880), (-0.237858,-0.426953), (-0.536289,-0.189905), (0.305027,0.336856), (-0.106375,-0.201644), (-0.379027,-0.837572), (-0.722981,-0.313409), (-0.663582,-0.085357), (0.531736,-0.563600), (0.499365,-0.366241), (0.212748,0.573416)]
Gen 21: [(-0.486104,0.609878), (0.334937,-0.828585), (-0.195032,0.176837), (-0.221687,-0.059106), (0.633457,-0.121860), (0.688651,-0.564315), (0.377984,-0.511799), (-0.434336,-0.043362), (0.826708,-0.112452), (0.618976,0.321817), (0.324412,-0.104098), (0.800237,-0.364428), (0.195570,0.406573), (0.983325,-0.169839), (-0.168378,-0.869880), (-0.237858,-0.426953), (-0.154110,0.659499), (-0.284856,0.483058), (-0.668729,0.268625), (0.829172,0.291155), (-0.722981,-0.313409), (0.017026,-0.283158), (0.543003,0.470374), (0.112371,0.891886), (0.092027,0.627018)]
Gen 22: [(-0.486104,0.609878), (0.334937,-0.828585), (-0.195032,0.176837), (-0.221687,-0.059106), (0.633457,-0.121860), (0.688651,-0.564315), (0.377984,-0.511799), (-0.434336,-0.043362), (0.826708,-0.112452), (0.618976,0.321817), (0.324412,-0.104098), (0.800237,-0.364428), (0.195570,0.406573), (0.983325,-0.169839), (-0.168378,-0.869880), (-0.237858,-0.426953), (-0.154110,0.659499), (-0.284856,0.483058), (-0.668729,0.268625), (0.829172,0.291155), (-0.722981,-0.313409), (0.017026,-0.283158), (0.543003,0.470374), (0.112371,0.891886), (0.092027,0.627018)]
