Polar Representation Log
n=5, generations=200, population=200
crossover_prob=0.7, mutation_prob=0.2, indpb=0.2, seed=42
================================================================================

Gen 39: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 40: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 41: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 42: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 43: [(-0.089705,-0.990665), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 44: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 45: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 46: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 47: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 48: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 49: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 50: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 51: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 52: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 53: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 54: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 55: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 56: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 57: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 58: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 59: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 60: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 61: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 62: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 63: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 64: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 65: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 66: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 67: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 68: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 69: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 70: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 71: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 72: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 73: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 74: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 75: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 76: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 77: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 78: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 79: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 80: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 81: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 82: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 83: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 84: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 85: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 86: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 87: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 88: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 89: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.013787,-0.020582)]
Gen 90: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 91: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 92: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 93: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 94: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 95: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 96: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 97: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 98: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 99: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 100: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 101: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 102: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 103: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 104: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 105: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 106: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 107: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 108: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 109: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 110: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 111: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 112: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 113: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 114: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 115: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 116: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 117: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 118: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.022874,0.014567)]
Gen 119: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 120: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 121: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 122: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 123: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 124: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 125: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 126: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 127: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 128: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 129: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 130: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.023836,0.008460)]
Gen 131: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (0.002399,-0.006566)]
Gen 132: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (0.002399,-0.006566)]
Gen 133: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (0.002399,-0.006566)]
Gen 134: [(-0.630747,-0.762440), (0.525310,0.821614), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 135: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 136: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 137: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 138: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 139: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 140: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 141: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 142: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 143: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 144: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 145: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 146: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 147: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 148: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 149: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 150: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 151: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 152: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 153: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 154: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 155: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 156: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 157: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007389,-0.001813)]
Gen 158: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 159: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 160: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 161: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 162: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 163: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 164: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 165: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 166: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 167: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 168: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 169: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 170: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 171: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 172: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
Gen 173: [(-0.630747,-0.762440), (0.673686,0.709009), (0.927993,-0.315091), (-0.734262,0.668299), (-0.007778,-0.000503)]
